conceptType,conceptUri,code,preferredLabel,greenShare
Occupation,http://data.europa.eu/esco/occupation/2a7d4b37-e831-4e20-827c-0682fe7e370e,8113.4,operator pompy do rurociągu,0.0
Occupation,http://data.europa.eu/esco/occupation/8d765d88-c8d6-406e-8dfe-e37c5aa89be6,8113.5,otworowy pomocnik wiertacza,0.0
Occupation,http://data.europa.eu/esco/occupation/86c49d9c-b37d-4a14-8e9d-d0357005a48d,8113.6,robotnik na platformie wiertniczej,0.0
Occupation,http://data.europa.eu/esco/occupation/5d549551-d94a-4e98-8444-d6608d70c8d8,8113.7,kierownik wierceń,0.0
Occupation,http://data.europa.eu/esco/occupation/7a0afb5e-f118-449a-82bd-d8b9230fd49f,8113.8,operator tunelowych maszyn wiertniczych,0.0384615384615384
Occupation,http://data.europa.eu/esco/occupation/46bbecf4-368a-44a8-9262-dcd775ae2c46,8113.9,wiertacz studni,0.0357142857142857
ISCO level 4,http://data.europa.eu/esco/isco/C8113,8113,"Operatorzy urządzeń wiertniczych i wydobywczych ropy, gazu i innych surowców",0.013072676116154366
Occupation,http://data.europa.eu/esco/occupation/2fa8c1fc-e722-4985-9822-f5d8174248cf,8114.1,operator urządzeń do produkcji mas asfaltowych,0.0263157894736842
Occupation,http://data.europa.eu/esco/occupation/990738f4-587c-4045-a10f-e3c1c019220e,8114.2,operator pustaczarki,0.0476190476190476
Occupation,http://data.europa.eu/esco/occupation/86da9311-1f7a-40bb-af65-ed2a7178fcae,8114.3,operator maszyn do produkcji prefabrykatów betonowych,0.0303030303030303
Occupation,http://data.europa.eu/esco/occupation/8fdce434-caaa-42c7-a77c-7ba8d1cbc4be,8114.4,wytwórca ogniw elektrolitycznych,0.0
Occupation,http://data.europa.eu/esco/occupation/8d3fd879-986d-42e7-bf67-c3c415592fe3,8114.5,odlewacz form betonowych,0.0
Occupation,http://data.europa.eu/esco/occupation/0477b9b0-8d2d-4eec-aaad-bac11092e98b,8114.6,operator mieszarki granulatu łupkowego,0.0
Occupation,http://data.europa.eu/esco/occupation/c453886f-a8f0-434c-be0e-e6a12c49954f,8114.7,szlifierz kamienia,0.0
Occupation,http://data.europa.eu/esco/occupation/a001cf0d-b0eb-420a-a110-9408448ba8b8,8114.8,operator łuparki do kamienia,0.0303030303030303
ISCO level 4,http://data.europa.eu/esco/isco/C8114,8114,"Operatorzy maszyn i urządzeń do produkcji betonu, asfaltobetonu, elementów betonowych i kamiennych i pokrewni",0.01681761221234905
ISCO level 3,http://data.europa.eu/esco/isco/C812,812,Operatorzy maszyn i urządzeń do przetwórstwa i obróbki metalu,0.01545588405239368
